PRECINCT_N,G16PRERTRU,G16PREDCLI,G16PRELJOH,Winner,Winner Votes
JC06,1025,713,55,G16PRERTRU,222058
JC13A,1011,449,61,G16PRERTRU,222058
JC13B,153,38,9,G16PRERTRU,222058
JC19,1239,1251,143,G16PRERTRU,222058
JC03B,373,549,38,G16PRERTRU,222058
JC12,1177,579,41,G16PRERTRU,222058
JC02,697,722,35,G16PRERTRU,222058
ML06B,710,1032,92,G16PRERTRU,222058
AP05,1793,1275,111,G16PRERTRU,222058
ML06A,367,687,46,G16PRERTRU,222058
AP12B,118,255,14,G16PRERTRU,222058
JC04A,1381,1410,151,G16PRERTRU,222058
JC01,1322,1870,120,G16PRERTRU,222058
ML072,546,220,30,G16PRERTRU,222058
ML05C,1414,1243,116,G16PRERTRU,222058
SS25,622,453,47,G16PRERTRU,222058
SS01,1278,852,90,G16PRERTRU,222058
RW21,1327,819,112,G16PRERTRU,222058
DULUTH H,779,784,58,G16PRERTRU,222058
BAYCREEK E,898,871,57,G16PRERTRU,222058
BAYCREEK G,1319,1634,86,G16PRERTRU,222058
LOGANVILLE SOUTH,1646,551,83,G16PRERTRU,222058
BAYCREEK H,2090,1296,107,G16PRERTRU,222058
BAYCREEK D,1547,1262,80,G16PRERTRU,222058
PUCKETTS A,2146,881,108,G16PRERTRU,222058
PUCKETTS C,1183,619,85,G16PRERTRU,222058
FRIENDSHIP II,1548,331,74,G16PRERTRU,222058
DACULA,1303,1368,109,G16PRERTRU,222058
ROCKYCREEK C,1782,1233,118,G16PRERTRU,222058
ROCKYCREEK B,1802,1148,148,G16PRERTRU,222058
PUCKETTS D,1372,616,86,G16PRERTRU,222058
DUNCANS A,2109,814,108,G16PRERTRU,222058
BAYCREEK I,1343,1797,97,G16PRERTRU,222058
BAYCREEK C,1562,2116,104,G16PRERTRU,222058
LAWRENCEVILLE I,722,1077,91,G16PRERTRU,222058
LAWRENCEVILLE H,1423,1072,118,G16PRERTRU,222058
LAWRENCEVILLE K,1052,883,84,G16PRERTRU,222058
LAWRENCEVILLE D,548,1753,69,G16PRERTRU,222058
LAWRENCEVILLE C,1064,624,107,G16PRERTRU,222058
DUNCANS D,2675,1028,152,G16PRERTRU,222058
FRIENDSHIP I,4065,1108,161,G16PRERTRU,222058
LOGANVILLE NORTH,2350,536,82,G16PRERTRU,222058
HARBINS A,2026,1470,156,G16PRERTRU,222058
BOLD SPRINGS,2522,410,94,G16PRERTRU,222058
02 BRANDYWINE,1856,1745,193,G16PRERTRU,222058
10 MIDWAY,8567,2808,581,G16PRERTRU,222058
01 BIG CREEK,7101,3393,481,G16PRERTRU,222058
FREEHOME,2851,525,125,G16PRERTRU,222058
SUGAR HILL G,1136,610,96,G16PRERTRU,222058
SUGAR HILL B,1653,1048,144,G16PRERTRU,222058
SUGAR HILL E,1099,671,101,G16PRERTRU,222058
SUGAR HILL C,1914,986,133,G16PRERTRU,222058
GOODWINS B,1419,933,120,G16PRERTRU,222058
HOG MOUNTAIN A,1177,1351,119,G16PRERTRU,222058
HOG MOUNTAIN D,1107,706,98,G16PRERTRU,222058
HOG MOUNTAIN C,1372,910,109,G16PRERTRU,222058
PUCKETTS E,1522,1333,92,G16PRERTRU,222058
LAWRENCEVILLE F,607,1635,73,G16PRERTRU,222058
LAWRENCEVILLE M,698,2380,93,G16PRERTRU,222058
HOG MOUNTAIN B,1767,1097,107,G16PRERTRU,222058
03 BROWNS BRIDGE,4862,1010,257,G16PRERTRU,222058
SUGAR HILL A,1247,803,85,G16PRERTRU,222058
21 SOUTH FORSYTH,5637,2418,349,G16PRERTRU,222058
SUWANEE D,1894,948,126,G16PRERTRU,222058
25 WINDERMERE,3735,1805,216,G16PRERTRU,222058
SUWANEE C,1509,1218,116,G16PRERTRU,222058
SUWANEE E,1601,934,117,G16PRERTRU,222058
SUWANEE A,468,437,46,G16PRERTRU,222058
GOODWINS F,843,908,102,G16PRERTRU,222058
SUWANEE F,1172,1056,123,G16PRERTRU,222058
SUWANEE B,1350,1078,134,G16PRERTRU,222058
CATES C,678,964,37,G16PRERTRU,222058
DULUTH A,1309,1469,138,G16PRERTRU,222058
19 OLD ATLANTA,2568,1345,121,G16PRERTRU,222058
SUWANEE G,1104,985,109,G16PRERTRU,222058
SUWANEE H,1633,724,86,G16PRERTRU,222058
MARTINS A,364,1237,58,G16PRERTRU,222058
SUGAR HILL D,1412,838,92,G16PRERTRU,222058
PUCKETTS B,1282,581,57,G16PRERTRU,222058
ROBERTS,2645,647,95,G16PRERTRU,222058
PINCKNEYVILLE X,1016,1029,119,G16PRERTRU,222058
PINCKNEYVILLE H,1165,1342,114,G16PRERTRU,222058
PINCKNEYVILLE T,652,920,75,G16PRERTRU,222058
MARTINS I,439,1380,43,G16PRERTRU,222058
MARTINS J,392,1533,75,G16PRERTRU,222058
CATES J,910,1109,97,G16PRERTRU,222058
CATES E,1010,869,80,G16PRERTRU,222058
CATES O,488,382,30,G16PRERTRU,222058
BERKSHIRE E,716,598,60,G16PRERTRU,222058
BERKSHIRE J,1030,802,95,G16PRERTRU,222058
BERKSHIRE D,930,837,81,G16PRERTRU,222058
BERKSHIRE A,383,839,52,G16PRERTRU,222058
CATES I,1111,1107,89,G16PRERTRU,222058
CATES M,1581,1022,145,G16PRERTRU,222058
LAWRENCEVILLE J,401,728,60,G16PRERTRU,222058
MARTINS B,564,1087,50,G16PRERTRU,222058
LAWRENCEVILLE G,429,1162,52,G16PRERTRU,222058
DULUTH K,248,880,36,G16PRERTRU,222058
DULUTH D,876,1393,121,G16PRERTRU,222058
DULUTH E,782,1665,101,G16PRERTRU,222058
DULUTH C,625,691,93,G16PRERTRU,222058
CATES A,934,520,55,G16PRERTRU,222058
CATES L,1076,1344,74,G16PRERTRU,222058
BAYCREEK J,955,1578,72,G16PRERTRU,222058
BAYCREEK B,1189,2069,72,G16PRERTRU,222058
BAYCREEK F,989,1574,65,G16PRERTRU,222058
CATES N,1196,506,57,G16PRERTRU,222058
BAYCREEK A,1011,755,62,G16PRERTRU,222058
BERKSHIRE H,325,587,38,G16PRERTRU,222058
PINCKNEYVILLE Y,289,1221,40,G16PRERTRU,222058
PINCKNEYVILLE D,190,729,39,G16PRERTRU,222058
PINCKNEYVILLE K,350,1327,59,G16PRERTRU,222058
PINCKNEYVILLE I,310,988,37,G16PRERTRU,222058
BERKSHIRE Q,587,468,56,G16PRERTRU,222058
BERKSHIRE P,285,416,19,G16PRERTRU,222058
BERKSHIRE M,605,461,50,G16PRERTRU,222058
PINCKNEYVILLE Q,128,762,30,G16PRERTRU,222058
BERKSHIRE L,397,1174,59,G16PRERTRU,222058
MARTINS F,308,917,45,G16PRERTRU,222058
BERKSHIRE F,410,628,39,G16PRERTRU,222058
BERKSHIRE O,986,663,64,G16PRERTRU,222058
MARTINS C,611,818,55,G16PRERTRU,222058
MARTINS D,163,803,26,G16PRERTRU,222058
PINCKNEYVILLE P,592,673,61,G16PRERTRU,222058
PINCKNEYVILLE A1,1160,719,93,G16PRERTRU,222058
PINCKNEYVILLE C,613,623,51,G16PRERTRU,222058
PINCKNEYVILLE Z,861,481,76,G16PRERTRU,222058
PINCKNEYVILLE L,1040,622,107,G16PRERTRU,222058
PINCKNEYVILLE M,1124,650,75,G16PRERTRU,222058
PINCKNEYVILLE B,365,1125,67,G16PRERTRU,222058
PINCKNEYVILLE J,172,975,30,G16PRERTRU,222058
PINCKNEYVILLE W,859,1250,97,G16PRERTRU,222058
PINCKNEYVILLE A,239,992,58,G16PRERTRU,222058
PINCKNEYVILLE S,586,1007,72,G16PRERTRU,222058
CATES H,683,1307,54,G16PRERTRU,222058
CATES F,789,403,59,G16PRERTRU,222058
CATES G,1217,644,75,G16PRERTRU,222058
CATES B,679,371,78,G16PRERTRU,222058
CATES K,932,627,102,G16PRERTRU,222058
MARTINS K,614,2107,82,G16PRERTRU,222058
MARTINS H,821,1594,67,G16PRERTRU,222058
DULUTH B,1018,867,81,G16PRERTRU,222058
DULUTH G,971,761,66,G16PRERTRU,222058
MARTINS E,294,2197,66,G16PRERTRU,222058
DULUTH F,581,1867,78,G16PRERTRU,222058
DULUTH I,1508,1216,59,G16PRERTRU,222058
GOODWINS C,1034,1765,106,G16PRERTRU,222058
GOODWINS E,1506,1479,148,G16PRERTRU,222058
MARTINS G,339,863,57,G16PRERTRU,222058
GOODWINS G,433,936,47,G16PRERTRU,222058
GOODWINS I,895,731,78,G16PRERTRU,222058
GOODWINS A,940,1215,99,G16PRERTRU,222058
GOODWINS H,794,816,88,G16PRERTRU,222058
GOODWINS D,1165,1165,147,G16PRERTRU,222058
LAWRENCEVILLE L,1189,1601,105,G16PRERTRU,222058
LAWRENCEVILLE E,821,633,58,G16PRERTRU,222058
LAWRENCEVILLE N,563,652,67,G16PRERTRU,222058
LAWRENCEVILLE B,926,1754,71,G16PRERTRU,222058
BAYCREEK K,1158,1111,54,G16PRERTRU,222058
LAWRENCEVILLE A,891,1052,70,G16PRERTRU,222058
07 CUMMING,1361,438,71,G16PRERTRU,222058
08 MASHBURN,4231,1174,235,G16PRERTRU,222058
SUGAR HILL F,1381,873,132,G16PRERTRU,222058
29 POLO,6131,2440,383,G16PRERTRU,222058
15 HEARDSVILLE,4097,779,231,G16PRERTRU,222058
16 OTWELL,5594,1450,318,G16PRERTRU,222058
05 COAL MOUNTAIN,2772,666,142,G16PRERTRU,222058
035 Cates D - 04,181,191,12,G16PRERTRU,222058
CATES D,915,740,53,G16PRERTRU,222058
OAKCLIFF ELEM,239,702,42,G16PRERTRU,222058
DORAVILLE NORTH (DOR),380,1080,66,G16PRERTRU,222058
PINCKNEYVILLE N,318,1412,72,G16PRERTRU,222058
PINCKNEYVILLE F,295,698,28,G16PRERTRU,222058
PINCKNEYVILLE E,200,770,46,G16PRERTRU,222058
PINCKNEYVILLE U,462,711,68,G16PRERTRU,222058
PINCKNEYVILLE O,350,1340,59,G16PRERTRU,222058
WINTERS CHAPEL (DUN),486,512,57,G16PRERTRU,222058
NORTH PEACHTREE (DUN),334,701,54,G16PRERTRU,222058
PLEASANTDALE ROAD,329,1670,54,G16PRERTRU,222058
