PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
A,693,338,16,10,1,G20PREDBID,300969
2,1463,1270,47,22,21,G20PREDBID,300969
1,1877,1318,70,15,24,G20PREDBID,300969
1,956,1008,41,16,2,G20PREDBID,300969
B,869,636,25,11,4,G20PREDBID,300969
B,980,613,36,11,5,G20PREDBID,300969
C,801,493,23,12,5,G20PREDBID,300969
2,886,333,7,6,4,G20PREDBID,300969
5,1104,700,23,10,7,G20PREDBID,300969
4,1124,1210,33,8,0,G20PREDBID,300969
8,1155,1397,39,6,0,G20PREDBID,300969
6,1196,780,9,12,5,G20PREDBID,300969
4,1166,762,21,17,10,G20PREDBID,300969
1,893,820,26,11,0,G20PREDBID,300969
7,986,811,21,9,0,G20PREDBID,300969
7,1660,861,59,9,16,G20PREDBID,300969
2,1229,573,20,5,14,G20PREDBID,300969
2,1305,568,18,13,8,G20PREDBID,300969
1,565,306,11,3,7,G20PREDBID,300969
B,1064,672,20,8,9,G20PREDBID,300969
A,982,712,33,10,2,G20PREDBID,300969
2,798,381,14,3,5,G20PREDBID,300969
5,1563,866,56,11,11,G20PREDBID,300969
6,1576,882,47,16,10,G20PREDBID,300969
9,1664,902,37,17,14,G20PREDBID,300969
8,1552,837,43,11,10,G20PREDBID,300969
B,952,629,42,14,2,G20PREDBID,300969
9,1192,1195,24,13,9,G20PREDBID,300969
4,1891,706,43,10,15,G20PREDBID,300969
B,896,742,39,15,8,G20PREDBID,300969
1,962,508,23,7,6,G20PREDBID,300969
2,1062,535,19,7,11,G20PREDBID,300969
1,1154,865,46,13,12,G20PREDBID,300969
2,1304,897,42,8,13,G20PREDBID,300969
1,703,347,14,5,3,G20PREDBID,300969
1,866,380,14,5,6,G20PREDBID,300969
2,878,374,21,5,1,G20PREDBID,300969
1,679,339,19,10,2,G20PREDBID,300969
1,640,292,11,3,3,G20PREDBID,300969
2,1018,466,22,12,12,G20PREDBID,300969
1,1615,811,37,9,18,G20PREDBID,300969
2,1060,601,34,8,9,G20PREDBID,300969
1,845,430,10,4,6,G20PREDBID,300969
5,1652,758,41,8,11,G20PREDBID,300969
3,942,947,28,2,0,G20PREDBID,300969
2,799,743,23,7,0,G20PREDBID,300969
9,951,972,24,13,0,G20PREDBID,300969
1,1243,877,46,7,0,G20PREDBID,300969
1,2529,1140,75,18,0,G20PREDBID,300969
5,894,1010,34,10,0,G20PREDBID,300969
2,1245,915,30,10,17,G20PREDBID,300969
6,1525,774,47,12,15,G20PREDBID,300969
2A,1022,1047,25,6,8,G20PREDBID,300969
3,1395,1166,26,9,10,G20PREDBID,300969
1,1144,960,30,7,12,G20PREDBID,300969
2,1361,1083,51,15,20,G20PREDBID,300969
3,1210,1023,45,11,16,G20PREDBID,300969
3,1619,811,44,11,18,G20PREDBID,300969
1,1298,1099,50,12,13,G20PREDBID,300969
2,1773,815,47,11,18,G20PREDBID,300969
1,2030,1667,87,21,22,G20PREDBID,300969
1,3074,954,71,18,12,G20PREDBID,300969
1,2100,1493,67,22,18,G20PREDBID,300969
1,2772,767,58,17,24,G20PREDBID,300969
1,1390,1442,63,21,11,G20PREDBID,300969
1,1530,977,45,3,20,G20PREDBID,300969
1,2526,786,63,22,5,G20PREDBID,300969
1,1375,816,48,18,8,G20PREDBID,300969
6,1414,1081,37,9,11,G20PREDBID,300969
1,2111,1061,72,5,21,G20PREDBID,300969
7,1253,594,19,16,10,G20PREDBID,300969
7A,352,154,15,7,2,G20PREDBID,300969
6,923,869,25,8,0,G20PREDBID,300969
6A,39,33,0,0,0,G20PREDBID,300969
4,725,240,11,3,2,G20PREDBID,300969
2,1373,838,39,12,20,G20PREDBID,300969
1,1405,373,23,7,14,G20PREDBID,300969
1A,507,134,17,3,3,G20PREDBID,300969
1,494,689,43,10,7,G20PREDBID,300969
1A,184,168,9,4,0,G20PREDBID,300969
1,1362,477,24,10,12,G20PREDBID,300969
9,1592,732,33,8,11,G20PREDBID,300969
2,651,144,4,6,0,G20PREDBID,300969
3,1331,766,22,10,13,G20PREDBID,300969
1,939,390,23,11,8,G20PREDBID,300969
4,2051,416,40,9,16,G20PREDBID,300969
5,1897,396,44,15,22,G20PREDBID,300969
8,1602,678,30,9,23,G20PREDBID,300969
6,1628,813,34,11,15,G20PREDBID,300969
5,1756,927,39,5,18,G20PREDBID,300969
4,1583,812,33,12,23,G20PREDBID,300969
A,765,888,30,10,10,G20PREDBID,300969
C,635,661,35,9,3,G20PREDBID,300969
1,909,810,23,11,0,G20PREDBID,300969
2,960,881,24,6,0,G20PREDBID,300969
3,1080,837,31,7,0,G20PREDBID,300969
1,1761,447,24,11,8,G20PREDBID,300969
2,1717,843,27,16,21,G20PREDBID,300969
3,1658,663,37,11,16,G20PREDBID,300969
2,1912,441,30,13,12,G20PREDBID,300969
6,1650,383,21,11,14,G20PREDBID,300969
3,1834,388,34,15,12,G20PREDBID,300969
1,1387,718,44,12,12,G20PREDBID,300969
2,1545,819,67,14,7,G20PREDBID,300969
2,1453,673,39,6,10,G20PREDBID,300969
3,1438,555,53,11,25,G20PREDBID,300969
1,1588,752,59,7,22,G20PREDBID,300969
5,1715,512,32,6,24,G20PREDBID,300969
B,661,740,30,12,6,G20PREDBID,300969
1,1794,659,63,12,14,G20PREDBID,300969
2,1757,599,46,11,9,G20PREDBID,300969
4,1958,515,47,5,13,G20PREDBID,300969
4,1085,847,28,6,0,G20PREDBID,300969
4,1618,782,49,10,28,G20PREDBID,300969
3,1638,702,41,8,20,G20PREDBID,300969
1,746,261,12,1,1,G20PREDBID,300969
2,571,163,5,6,1,G20PREDBID,300969
A,1014,735,39,12,13,G20PREDBID,300969
1,952,596,17,8,3,G20PREDBID,300969
2,1029,581,29,7,1,G20PREDBID,300969
3,888,582,10,7,5,G20PREDBID,300969
1,573,221,7,5,1,G20PREDBID,300969
2,717,230,12,4,1,G20PREDBID,300969
3,413,242,5,2,1,G20PREDBID,300969
1,792,313,17,4,1,G20PREDBID,300969
2,847,484,7,8,3,G20PREDBID,300969
3,1113,621,18,5,5,G20PREDBID,300969
1,734,370,11,5,4,G20PREDBID,300969
2,900,464,23,8,2,G20PREDBID,300969
3,797,405,21,10,0,G20PREDBID,300969
3,825,232,7,8,2,G20PREDBID,300969
2,863,307,15,4,6,G20PREDBID,300969
1,586,183,8,1,2,G20PREDBID,300969
1,718,253,9,8,2,G20PREDBID,300969
2,543,126,14,2,0,G20PREDBID,300969
3,647,177,8,2,2,G20PREDBID,300969
4,683,195,10,6,1,G20PREDBID,300969
2,697,210,11,5,3,G20PREDBID,300969
3,1336,221,24,24,3,G20PREDBID,300969
1,748,338,13,3,2,G20PREDBID,300969
2,626,274,15,9,1,G20PREDBID,300969
3,634,283,12,12,2,G20PREDBID,300969
1,755,258,6,4,1,G20PREDBID,300969
3,492,151,1,2,0,G20PREDBID,300969
2,593,161,6,2,0,G20PREDBID,300969
4,627,180,7,2,1,G20PREDBID,300969
1,937,523,10,5,6,G20PREDBID,300969
2,958,479,17,6,7,G20PREDBID,300969
3,629,287,8,4,4,G20PREDBID,300969
4,742,275,6,5,2,G20PREDBID,300969
2,931,447,31,11,8,G20PREDBID,300969
3,1021,707,32,8,6,G20PREDBID,300969
4,1144,612,40,12,5,G20PREDBID,300969
5,1429,637,32,12,5,G20PREDBID,300969
6,848,454,12,12,7,G20PREDBID,300969
7,911,425,23,6,9,G20PREDBID,300969
3,603,158,6,3,3,G20PREDBID,300969
4,689,187,8,3,2,G20PREDBID,300969
1,1248,759,29,9,9,G20PREDBID,300969
5,988,537,16,3,9,G20PREDBID,300969
2,1264,827,20,7,6,G20PREDBID,300969
3,1161,630,24,12,17,G20PREDBID,300969
1,708,349,9,5,4,G20PREDBID,300969
2,570,201,11,4,0,G20PREDBID,300969
3,442,183,9,1,2,G20PREDBID,300969
1,819,425,14,8,5,G20PREDBID,300969
2,823,547,25,6,2,G20PREDBID,300969
3,848,404,16,10,6,G20PREDBID,300969
1,385,85,9,2,1,G20PREDBID,300969
1,803,394,11,5,3,G20PREDBID,300969
2,525,214,1,5,2,G20PREDBID,300969
3,661,259,9,5,1,G20PREDBID,300969
1,706,350,24,11,0,G20PREDBID,300969
2,596,288,5,4,2,G20PREDBID,300969
3,719,502,18,10,5,G20PREDBID,300969
A,572,426,22,7,1,G20PREDBID,300969
B,606,416,23,2,2,G20PREDBID,300969
A,476,363,20,9,1,G20PREDBID,300969
B,369,298,24,7,1,G20PREDBID,300969
A,581,341,23,9,3,G20PREDBID,300969
A,679,454,22,5,4,G20PREDBID,300969
A,480,350,20,6,0,G20PREDBID,300969
B,610,549,29,9,2,G20PREDBID,300969
1,1287,717,40,13,13,G20PREDBID,300969
2,1145,666,44,20,5,G20PREDBID,300969
4,1059,746,34,7,12,G20PREDBID,300969
3,1197,757,40,14,10,G20PREDBID,300969
1,1930,354,34,10,18,G20PREDBID,300969
2,2261,444,33,11,23,G20PREDBID,300969
3,2058,435,31,13,19,G20PREDBID,300969
4,2338,476,41,14,23,G20PREDBID,300969
5,1437,268,21,4,15,G20PREDBID,300969
B,233,249,7,0,1,G20PREDBID,300969
1,908,633,28,7,7,G20PREDBID,300969
2,915,646,24,13,6,G20PREDBID,300969
3,1067,715,17,9,14,G20PREDBID,300969
1,834,479,25,9,13,G20PREDBID,300969
1,1116,628,34,9,7,G20PREDBID,300969
3,1099,834,36,14,18,G20PREDBID,300969
2,906,608,15,9,8,G20PREDBID,300969
3,611,291,16,7,5,G20PREDBID,300969
1,619,343,12,7,3,G20PREDBID,300969
2,1043,446,16,10,4,G20PREDBID,300969
3,828,472,20,8,4,G20PREDBID,300969
2,877,662,18,11,7,G20PREDBID,300969
1,626,225,16,10,5,G20PREDBID,300969
2,795,354,15,11,4,G20PREDBID,300969
3,798,411,9,10,6,G20PREDBID,300969
1,956,696,30,6,14,G20PREDBID,300969
2,1016,877,19,9,11,G20PREDBID,300969
3,1016,728,32,9,8,G20PREDBID,300969
1,1130,570,26,10,10,G20PREDBID,300969
3,667,297,12,6,0,G20PREDBID,300969
4,804,253,8,2,6,G20PREDBID,300969
1,748,176,9,4,6,G20PREDBID,300969
B,607,493,21,6,6,G20PREDBID,300969
3,1645,652,37,4,15,G20PREDBID,300969
1,1735,709,44,8,14,G20PREDBID,300969
2,1561,788,44,17,12,G20PREDBID,300969
1,1009,676,21,8,4,G20PREDBID,300969
2,994,823,20,10,11,G20PREDBID,300969
3,987,1024,21,11,10,G20PREDBID,300969
1,1363,1248,51,18,5,G20PREDBID,300969
2,1302,1229,57,10,11,G20PREDBID,300969
1,854,894,32,12,12,G20PREDBID,300969
3,943,875,41,6,7,G20PREDBID,300969
2,1454,614,44,10,22,G20PREDBID,300969
11,1135,1009,37,16,10,G20PREDBID,300969
1,1617,600,38,6,9,G20PREDBID,300969
2,1221,379,18,7,6,G20PREDBID,300969
6,1263,958,26,27,10,G20PREDBID,300969
B,955,670,32,9,10,G20PREDBID,300969
C,1078,857,29,10,10,G20PREDBID,300969
D,980,674,42,12,11,G20PREDBID,300969
4,1128,406,21,9,13,G20PREDBID,300969
1,1247,435,31,15,9,G20PREDBID,300969
A,405,272,11,3,0,G20PREDBID,300969
B,782,351,20,4,5,G20PREDBID,300969
B,781,378,21,10,6,G20PREDBID,300969
B,742,559,23,16,4,G20PREDBID,300969
B,927,597,22,11,9,G20PREDBID,300969
C,678,410,14,11,4,G20PREDBID,300969
1,1132,834,22,7,8,G20PREDBID,300969
2,890,851,35,8,16,G20PREDBID,300969
2,1092,781,38,9,15,G20PREDBID,300969
A,1044,725,20,7,5,G20PREDBID,300969
A,703,384,17,5,4,G20PREDBID,300969
B,845,450,22,9,3,G20PREDBID,300969
A,1147,855,32,10,7,G20PREDBID,300969
2,835,901,31,18,0,G20PREDBID,300969
3,800,903,41,15,0,G20PREDBID,300969
12,1310,1198,28,9,13,G20PREDBID,300969
7,1292,1058,23,3,6,G20PREDBID,300969
3,1178,875,13,12,4,G20PREDBID,300969
10,1270,790,24,7,7,G20PREDBID,300969
3,1346,452,19,13,11,G20PREDBID,300969
2,1271,930,32,12,8,G20PREDBID,300969
1,1782,535,36,8,20,G20PREDBID,300969
2,1354,329,19,6,4,G20PREDBID,300969
1,2139,354,32,15,19,G20PREDBID,300969
A,1106,883,33,12,6,G20PREDBID,300969
B,570,285,18,9,2,G20PREDBID,300969
8,1263,1372,30,7,11,G20PREDBID,300969
1,1769,792,36,13,13,G20PREDBID,300969
3A,1458,1225,25,6,14,G20PREDBID,300969
1,1230,954,48,11,8,G20PREDBID,300969
2,1191,1022,44,11,17,G20PREDBID,300969
A,772,515,21,14,2,G20PREDBID,300969
11,1339,1230,32,8,13,G20PREDBID,300969
2,1463,770,37,11,15,G20PREDBID,300969
3,1403,949,36,14,17,G20PREDBID,300969
4,1405,945,46,8,10,G20PREDBID,300969
