PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIPIE,G20PREOWRI,Winner,Winner Votes
Yorktown 39,239,228,1,3,2,2,G20PREDBID,233226
New Castle 1,561,154,4,1,1,0,G20PREDBID,233226
North Castle 4,537,263,6,0,2,0,G20PREDBID,233226
Harrison 18,398,251,4,0,2,1,G20PREDBID,233226
Harrison 3,435,196,2,1,2,1,G20PREDBID,233226
Harrison 17,261,10,0,5,0,2,G20PREDBID,233226
Rye 31,508,177,2,0,1,0,G20PREDBID,233226
Mount Pleasant 14,572,236,8,2,5,0,G20PREDBID,233226
Mount Pleasant 41,464,153,7,2,2,0,G20PREDBID,233226
Mount Pleasant 25,440,220,2,0,1,0,G20PREDBID,233226
Cortlandt 15,511,323,7,2,5,0,G20PREDBID,233226
Cortlandt 38,531,245,7,1,4,1,G20PREDBID,233226
Ossining 6,638,178,2,4,1,0,G20PREDBID,233226
Ossining 10,466,133,2,3,0,0,G20PREDBID,233226
Ossining 7,458,132,1,3,2,0,G20PREDBID,233226
Ossining 9,384,144,2,4,0,0,G20PREDBID,233226
Ossining 4,386,126,5,1,4,3,G20PREDBID,233226
Ossining 14,521,315,3,0,3,0,G20PREDBID,233226
Ossining 11,287,141,1,5,2,0,G20PREDBID,233226
Ossining 28,583,249,3,1,2,1,G20PREDBID,233226
Ossining 12,438,228,2,1,1,0,G20PREDBID,233226
New Castle 5,565,102,5,2,1,2,G20PREDBID,233226
New Castle 16,579,101,5,1,1,0,G20PREDBID,233226
New Castle 12,449,74,7,1,1,0,G20PREDBID,233226
New Castle 3,555,134,3,0,1,0,G20PREDBID,233226
New Castle 4,462,87,6,0,1,0,G20PREDBID,233226
New Castle 10,583,147,9,2,2,0,G20PREDBID,233226
Yorktown 32,89,37,3,0,1,0,G20PREDBID,233226
New Castle 8,568,81,4,1,0,1,G20PREDBID,233226
New Castle 15,554,136,6,1,3,0,G20PREDBID,233226
Ossining 15,644,296,3,2,1,0,G20PREDBID,233226
Ossining 17,492,202,4,2,1,1,G20PREDBID,233226
Ossining 18,306,162,1,2,2,0,G20PREDBID,233226
Ossining 24,111,25,0,1,0,0,G20PREDBID,233226
Ossining 25,172,8,0,0,0,0,G20PREDBID,233226
Cortlandt 32,308,77,2,4,0,0,G20PREDBID,233226
New Castle 2,437,240,5,3,5,0,G20PREDBID,233226
Ossining 20,158,102,2,1,0,0,G20PREDBID,233226
New Castle 14,574,162,6,3,0,0,G20PREDBID,233226
New Castle 11,551,181,3,3,3,0,G20PREDBID,233226
North Castle 5,372,222,4,0,1,0,G20PREDBID,233226
Mount Pleasant 40,184,302,2,0,0,0,G20PREDBID,233226
Mount Pleasant 30,538,308,4,3,2,0,G20PREDBID,233226
New Castle 6,583,145,5,5,3,0,G20PREDBID,233226
Rye 19,333,309,3,2,2,1,G20PREDBID,233226
Rye 30,259,83,3,0,0,0,G20PREDBID,233226
Rye 14,326,186,3,2,2,0,G20PREDBID,233226
Rye 18,461,320,4,1,2,0,G20PREDBID,233226
Rye 25,351,335,6,1,1,0,G20PREDBID,233226
Greenburgh 71,351,132,3,1,1,0,G20PREDBID,233226
White Plains City 34,486,172,7,7,0,0,G20PREDBID,233226
Greenburgh 41,377,138,3,0,1,0,G20PREDBID,233226
White Plains City 32,461,114,1,0,1,0,G20PREDBID,233226
White Plains City 33,538,128,2,3,0,0,G20PREDBID,233226
White Plains City 41,748,151,1,5,2,3,G20PREDBID,233226
White Plains City 46,133,27,1,0,0,0,G20PREDBID,233226
Rye 20,343,258,1,0,2,0,G20PREDBID,233226
Rye 21,333,255,2,1,1,0,G20PREDBID,233226
Rye 23,547,144,4,1,1,0,G20PREDBID,233226
Rye 26,457,291,3,0,3,0,G20PREDBID,233226
Rye 29,528,175,4,0,5,0,G20PREDBID,233226
Rye 10,301,171,1,1,1,0,G20PREDBID,233226
Rye 9,387,152,2,0,1,2,G20PREDBID,233226
Rye 11,412,199,3,5,0,1,G20PREDBID,233226
Rye 13,514,277,5,6,3,0,G20PREDBID,233226
Rye 8,258,68,0,3,2,0,G20PREDBID,233226
Rye 7,149,35,1,0,1,0,G20PREDBID,233226
Rye 15,256,79,1,0,0,1,G20PREDBID,233226
Rye 12,411,247,7,4,2,0,G20PREDBID,233226
Rye City 14,402,245,4,1,1,0,G20PREDBID,233226
Rye City 3,368,163,7,2,2,0,G20PREDBID,233226
Rye City 4,386,229,4,1,0,0,G20PREDBID,233226
Rye City 11,393,184,4,1,3,0,G20PREDBID,233226
Rye City 8,559,219,13,3,3,3,G20PREDBID,233226
Rye 6,379,79,1,1,1,0,G20PREDBID,233226
Rye 5,373,136,4,0,0,1,G20PREDBID,233226
New Castle 7,551,169,7,3,1,0,G20PREDBID,233226
Somers 2,488,415,7,2,2,0,G20PREDBID,233226
New Castle 13,588,211,4,0,4,0,G20PREDBID,233226
Mount Kisco 2,648,356,7,4,3,0,G20PREDBID,233226
Mount Kisco 3,423,216,6,5,2,0,G20PREDBID,233226
Mount Kisco 6,534,182,4,3,2,0,G20PREDBID,233226
Mount Pleasant 37,109,226,1,3,0,0,G20PREDBID,233226
Mount Pleasant 34,148,234,1,1,4,0,G20PREDBID,233226
Ossining 30,352,125,1,1,1,0,G20PREDBID,233226
Ossining 29,380,129,7,2,1,0,G20PREDBID,233226
Ossining 1,279,84,1,2,1,0,G20PREDBID,233226
Ossining 22,388,142,0,2,0,0,G20PREDBID,233226
Ossining 2,479,138,2,1,1,0,G20PREDBID,233226
Greenburgh 79,711,173,9,5,2,1,G20PREDBID,233226
Greenburgh 60,508,101,2,1,1,0,G20PREDBID,233226
Greenburgh 10,596,209,5,2,1,0,G20PREDBID,233226
Greenburgh 50,582,289,1,2,1,0,G20PREDBID,233226
Greenburgh 78,593,77,0,2,1,0,G20PREDBID,233226
Greenburgh 44,527,115,6,3,0,0,G20PREDBID,233226
Greenburgh 63,723,139,0,1,1,0,G20PREDBID,233226
White Plains City 25,528,181,1,5,1,0,G20PREDBID,233226
White Plains City 31,238,37,1,0,0,0,G20PREDBID,233226
White Plains City 16,525,170,4,3,0,0,G20PREDBID,233226
White Plains City 28,353,132,3,0,3,0,G20PREDBID,233226
White Plains City 29,457,237,1,2,3,0,G20PREDBID,233226
White Plains City 38,572,76,1,2,1,0,G20PREDBID,233226
White Plains City 44,10,3,0,0,0,0,G20PREDBID,233226
White Plains City 45,80,29,0,0,0,0,G20PREDBID,233226
White Plains City 37,284,99,2,1,2,0,G20PREDBID,233226
White Plains City 30,666,226,2,1,2,0,G20PREDBID,233226
White Plains City 24,697,233,2,4,1,0,G20PREDBID,233226
White Plains City 23,416,94,1,3,2,2,G20PREDBID,233226
White Plains City 27,506,268,3,2,5,0,G20PREDBID,233226
Greenburgh 47,341,36,1,0,0,0,G20PREDBID,233226
White Plains City 22,218,99,0,1,4,0,G20PREDBID,233226
Greenburgh 30,595,244,4,1,3,0,G20PREDBID,233226
Greenburgh 77,491,230,3,1,1,0,G20PREDBID,233226
Greenburgh 40,369,229,2,2,3,0,G20PREDBID,233226
Greenburgh 42,438,119,2,1,1,0,G20PREDBID,233226
Greenburgh 27,439,215,2,1,0,0,G20PREDBID,233226
Greenburgh 28,248,88,0,2,1,0,G20PREDBID,233226
Bedford 12,443,191,11,0,4,0,G20PREDBID,233226
Bedford 9,414,175,7,1,6,0,G20PREDBID,233226
Rye 27,533,206,0,4,2,0,G20PREDBID,233226
Rye 22,445,153,2,0,1,0,G20PREDBID,233226
North Castle 2,371,369,5,0,2,1,G20PREDBID,233226
North Castle 10,387,184,6,1,3,0,G20PREDBID,233226
North Castle 8,498,345,6,0,1,1,G20PREDBID,233226
North Castle 7,287,189,1,1,2,1,G20PREDBID,233226
North Castle 11,343,179,1,3,1,1,G20PREDBID,233226
Ossining 27,519,140,2,1,2,1,G20PREDBID,233226
Ossining 16,329,152,0,2,2,0,G20PREDBID,233226
Ossining 19,700,257,9,3,4,0,G20PREDBID,233226
Ossining 26,486,210,2,2,5,0,G20PREDBID,233226
Mount Pleasant 19,287,407,4,4,2,0,G20PREDBID,233226
Greenburgh 56,446,112,1,1,0,0,G20PREDBID,233226
Greenburgh 64,649,99,2,2,3,0,G20PREDBID,233226
Greenburgh 61,443,115,0,2,1,0,G20PREDBID,233226
Greenburgh 26,629,233,2,0,2,1,G20PREDBID,233226
Greenburgh 46,746,70,1,2,2,0,G20PREDBID,233226
Greenburgh 45,289,33,0,1,1,0,G20PREDBID,233226
Greenburgh 68,355,146,4,0,2,2,G20PREDBID,233226
Greenburgh 81,427,41,2,3,1,0,G20PREDBID,233226
Greenburgh 29,110,80,1,2,0,1,G20PREDBID,233226
Mount Pleasant 28,186,315,1,3,0,0,G20PREDBID,233226
Mount Pleasant 36,109,245,3,0,0,0,G20PREDBID,233226
Mount Pleasant 20,423,289,5,1,1,1,G20PREDBID,233226
Mount Pleasant 43,290,126,2,0,2,0,G20PREDBID,233226
Mount Pleasant 15,556,247,8,1,4,0,G20PREDBID,233226
Mount Pleasant 13,585,273,5,2,0,0,G20PREDBID,233226
Mount Pleasant 12,273,323,1,2,2,0,G20PREDBID,233226
Greenburgh 36,315,113,1,0,0,0,G20PREDBID,233226
Greenburgh 66,225,148,0,1,1,0,G20PREDBID,233226
Greenburgh 34,698,157,5,2,0,0,G20PREDBID,233226
Greenburgh 70,349,148,1,2,0,0,G20PREDBID,233226
Greenburgh 75,475,233,2,2,1,0,G20PREDBID,233226
Greenburgh 57,436,160,5,3,1,0,G20PREDBID,233226
Greenburgh 39,391,154,0,3,1,0,G20PREDBID,233226
Greenburgh 72,364,116,0,1,1,0,G20PREDBID,233226
Greenburgh 11,292,50,3,0,1,0,G20PREDBID,233226
Greenburgh 33,413,114,3,1,0,0,G20PREDBID,233226
Greenburgh 43,281,93,2,1,0,0,G20PREDBID,233226
Harrison 14,418,360,1,3,3,0,G20PREDBID,233226
Harrison 19,193,200,0,0,0,0,G20PREDBID,233226
Mount Pleasant 35,190,282,4,2,1,0,G20PREDBID,233226
Mount Pleasant 26,198,313,1,3,1,0,G20PREDBID,233226
Mount Pleasant 42,185,212,1,3,2,0,G20PREDBID,233226
Mount Pleasant 11,219,312,4,1,1,0,G20PREDBID,233226
Mount Pleasant 38,193,379,4,2,2,1,G20PREDBID,233226
Mount Pleasant 24,226,323,8,0,1,0,G20PREDBID,233226
Mount Pleasant 29,150,264,8,0,0,0,G20PREDBID,233226
Mount Pleasant 39,148,280,0,1,0,0,G20PREDBID,233226
White Plains City 43,358,92,1,1,2,0,G20PREDBID,233226
White Plains City 21,403,106,2,2,0,1,G20PREDBID,233226
Scarsdale 13,579,128,2,1,0,0,G20PREDBID,233226
White Plains City 7,307,103,2,1,0,0,G20PREDBID,233226
White Plains City 12,471,155,2,2,0,0,G20PREDBID,233226
White Plains City 35,229,65,3,1,2,0,G20PREDBID,233226
White Plains City 40,445,70,0,0,2,0,G20PREDBID,233226
White Plains City 5,482,192,7,1,2,1,G20PREDBID,233226
White Plains City 6,357,188,2,3,3,0,G20PREDBID,233226
White Plains City 42,687,240,12,2,5,0,G20PREDBID,233226
White Plains City 39,496,155,4,2,3,1,G20PREDBID,233226
White Plains City 36,498,132,3,3,1,1,G20PREDBID,233226
Mamaroneck 28,214,84,4,0,0,0,G20PREDBID,233226
Scarsdale 17,260,66,1,0,1,0,G20PREDBID,233226
Mamaroneck 27,253,179,3,0,1,2,G20PREDBID,233226
Mamaroneck 5,232,136,5,1,2,0,G20PREDBID,233226
White Plains City 15,414,206,5,0,0,0,G20PREDBID,233226
Harrison 4,773,384,12,1,3,0,G20PREDBID,233226
White Plains City 9,307,148,5,1,1,0,G20PREDBID,233226
White Plains City 4,446,200,3,3,1,0,G20PREDBID,233226
White Plains City 13,449,219,5,2,2,0,G20PREDBID,233226
White Plains City 14,371,200,2,2,1,0,G20PREDBID,233226
White Plains City 11,344,213,11,0,1,0,G20PREDBID,233226
White Plains City 3,246,140,0,2,2,0,G20PREDBID,233226
White Plains City 17,304,64,1,0,0,0,G20PREDBID,233226
White Plains City 10,628,293,3,0,0,0,G20PREDBID,233226
White Plains City 2,672,353,3,1,2,0,G20PREDBID,233226
Greenburgh 69,649,171,2,2,2,0,G20PREDBID,233226
Greenburgh 53,481,144,1,4,2,1,G20PREDBID,233226
White Plains City 8,117,64,8,1,1,0,G20PREDBID,233226
Harrison 11,322,413,7,4,3,0,G20PREDBID,233226
Harrison 2,349,455,1,2,6,0,G20PREDBID,233226
White Plains City 20,734,220,5,9,2,0,G20PREDBID,233226
White Plains City 18,522,184,2,2,3,0,G20PREDBID,233226
Harrison 15,243,162,1,0,0,0,G20PREDBID,233226
Harrison 1,315,404,3,2,1,1,G20PREDBID,233226
North Castle 3,264,292,6,2,1,0,G20PREDBID,233226
Greenburgh 48,451,249,7,1,4,1,G20PREDBID,233226
Greenburgh 67,602,218,4,1,5,2,G20PREDBID,233226
Mount Pleasant 18,416,359,4,2,1,0,G20PREDBID,233226
Mount Pleasant 10,187,186,1,2,0,0,G20PREDBID,233226
Mount Pleasant 27,206,241,4,0,2,0,G20PREDBID,233226
Mount Pleasant 44,251,192,0,1,1,1,G20PREDBID,233226
White Plains City 26,297,107,1,3,3,0,G20PREDBID,233226
White Plains City 19,764,159,5,4,1,0,G20PREDBID,233226
Mamaroneck 1,360,139,6,0,1,0,G20PREDBID,233226
Rye 2,510,278,2,1,1,2,G20PREDBID,233226
Scarsdale 18,600,158,4,1,0,0,G20PREDBID,233226
Scarsdale 3,416,106,6,0,0,0,G20PREDBID,233226
Scarsdale 12,511,104,3,0,0,0,G20PREDBID,233226
Greenburgh 37,441,197,6,3,3,1,G20PREDBID,233226
Scarsdale 19,121,21,2,0,0,0,G20PREDBID,233226
Scarsdale 2,599,115,4,0,1,0,G20PREDBID,233226
Greenburgh 38,224,118,3,4,0,0,G20PREDBID,233226
Scarsdale 1,551,90,6,0,0,1,G20PREDBID,233226
Greenburgh 25,557,176,6,1,2,0,G20PREDBID,233226
Greenburgh 62,509,112,4,1,0,0,G20PREDBID,233226
Greenburgh 54,264,123,3,4,1,0,G20PREDBID,233226
Greenburgh 32,349,125,1,0,1,0,G20PREDBID,233226
Greenburgh 24,649,244,1,4,3,0,G20PREDBID,233226
Greenburgh 17,442,195,2,1,0,0,G20PREDBID,233226
Greenburgh 12,373,182,6,3,1,0,G20PREDBID,233226
Greenburgh 65,456,269,5,1,2,0,G20PREDBID,233226
Greenburgh 58,573,242,4,5,0,0,G20PREDBID,233226
Greenburgh 35,531,116,5,1,2,0,G20PREDBID,233226
Greenburgh 21,360,73,1,2,1,0,G20PREDBID,233226
Greenburgh 80,258,73,3,2,0,0,G20PREDBID,233226
Greenburgh 15,491,80,2,4,0,0,G20PREDBID,233226
Greenburgh 23,832,78,3,2,2,0,G20PREDBID,233226
Greenburgh 14,488,84,2,2,0,0,G20PREDBID,233226
Greenburgh 13,762,305,11,3,3,1,G20PREDBID,233226
Greenburgh 16,494,198,5,1,0,2,G20PREDBID,233226
Greenburgh 51,231,162,0,0,1,1,G20PREDBID,233226
Greenburgh 31,752,261,7,4,4,1,G20PREDBID,233226
Rye 4,343,259,6,2,2,0,G20PREDBID,233226
Rye 24,393,297,4,1,3,0,G20PREDBID,233226
Rye City 1,545,203,10,3,5,0,G20PREDBID,233226
Harrison 9,227,369,3,2,2,0,G20PREDBID,233226
Harrison 12,282,290,3,1,1,0,G20PREDBID,233226
Harrison 6,309,495,6,4,4,1,G20PREDBID,233226
Harrison 8,405,412,7,0,5,0,G20PREDBID,233226
Harrison 16,245,295,4,3,0,0,G20PREDBID,233226
Harrison 7,297,255,4,0,0,0,G20PREDBID,233226
Rye City 12,349,147,10,2,0,4,G20PREDBID,233226
Yorktown 20,411,399,9,1,1,0,G20PREDBID,233226
Yorktown 31,364,336,10,0,1,0,G20PREDBID,233226
Yorktown 5,291,304,6,5,3,0,G20PREDBID,233226
Greenburgh 7,485,193,4,3,0,0,G20PREDBID,233226
Greenburgh 55,545,200,6,2,2,1,G20PREDBID,233226
Greenburgh 74,441,131,6,4,1,0,G20PREDBID,233226
Greenburgh 6,210,103,1,0,0,0,G20PREDBID,233226
Greenburgh 3,394,102,2,3,0,0,G20PREDBID,233226
Mount Pleasant 3,254,80,0,1,1,0,G20PREDBID,233226
Greenburgh 4,571,149,5,3,2,0,G20PREDBID,233226
Greenburgh 9,500,164,6,2,0,0,G20PREDBID,233226
Greenburgh 8,523,147,8,3,6,0,G20PREDBID,233226
Greenburgh 76,358,105,4,3,1,0,G20PREDBID,233226
Mount Pleasant 5,305,113,0,0,0,0,G20PREDBID,233226
Greenburgh 5,472,194,3,1,1,0,G20PREDBID,233226
Greenburgh 1,772,193,9,2,2,0,G20PREDBID,233226
Mount Pleasant 1,256,75,2,0,1,0,G20PREDBID,233226
Greenburgh 2,323,98,1,1,1,0,G20PREDBID,233226
Mount Pleasant 2,409,106,2,0,1,0,G20PREDBID,233226
Mount Pleasant 4,266,70,1,1,1,1,G20PREDBID,233226
Mount Pleasant 6,529,102,9,0,1,1,G20PREDBID,233226
Mount Pleasant 33,518,86,3,3,3,0,G20PREDBID,233226
Mount Pleasant 23,42,22,0,0,0,0,G20PREDBID,233226
Mount Pleasant 7,536,253,9,3,1,0,G20PREDBID,233226
Mount Pleasant 9,343,204,4,5,1,1,G20PREDBID,233226
Harrison 20,120,96,0,1,1,0,G20PREDBID,233226
Rye City 2,382,167,1,1,2,0,G20PREDBID,233226
Harrison 13,567,406,3,1,1,0,G20PREDBID,233226
Harrison 5,143,107,3,0,1,0,G20PREDBID,233226
Harrison 10,451,331,3,0,7,1,G20PREDBID,233226
Yorktown 19,379,458,4,2,0,1,G20PREDBID,233226
Somers 12,426,439,6,1,5,0,G20PREDBID,233226
Somers 8,379,432,4,3,2,0,G20PREDBID,233226
Somers 3,329,354,8,2,5,0,G20PREDBID,233226
Yorktown 2,274,230,0,1,3,0,G20PREDBID,233226
Yorktown 6,285,184,3,1,2,0,G20PREDBID,233226
Peekskill City 2,311,82,1,6,1,0,G20PREDBID,233226
Peekskill City 3,216,62,2,0,0,1,G20PREDBID,233226
New Castle 9,396,110,7,1,0,0,G20PREDBID,233226
Mount Kisco 5,228,151,4,0,1,0,G20PREDBID,233226
Mount Kisco 4,596,246,5,2,1,0,G20PREDBID,233226
Mount Kisco 1,442,208,3,5,2,1,G20PREDBID,233226
Yorktown 21,284,266,4,2,4,0,G20PREDBID,233226
Yorktown 4,285,368,1,1,4,1,G20PREDBID,233226
Yorktown 24,202,144,0,2,0,0,G20PREDBID,233226
Yorktown 42,231,204,2,1,1,1,G20PREDBID,233226
Yorktown 12,150,169,2,1,1,0,G20PREDBID,233226
Yorktown 37,142,136,3,1,0,0,G20PREDBID,233226
Yorktown 14,205,310,2,3,2,0,G20PREDBID,233226
Yorktown 40,169,139,1,0,1,1,G20PREDBID,233226
Yorktown 36,256,255,4,2,2,0,G20PREDBID,233226
Yorktown 10,211,229,1,1,1,0,G20PREDBID,233226
Yorktown 23,205,260,0,0,0,0,G20PREDBID,233226
Yorktown 27,335,356,1,2,5,1,G20PREDBID,233226
Cortlandt 27,381,392,4,1,1,1,G20PREDBID,233226
Yorktown 41,169,76,0,1,2,0,G20PREDBID,233226
Yorktown 28,352,306,4,2,1,1,G20PREDBID,233226
Yorktown 38,434,339,3,0,2,0,G20PREDBID,233226
Yorktown 25,146,94,0,0,2,0,G20PREDBID,233226
Yorktown 22,244,242,4,3,0,0,G20PREDBID,233226
Yorktown 1,347,330,4,3,1,1,G20PREDBID,233226
Yorktown 13,326,308,7,4,2,0,G20PREDBID,233226
Yorktown 9,298,298,2,1,2,0,G20PREDBID,233226
Yorktown 30,204,199,2,3,0,0,G20PREDBID,233226
Yorktown 11,289,348,4,1,1,0,G20PREDBID,233226
Cortlandt 24,407,327,7,8,1,1,G20PREDBID,233226
Cortlandt 14,425,267,2,1,2,0,G20PREDBID,233226
Cortlandt 18,310,207,3,2,5,0,G20PREDBID,233226
Cortlandt 20,350,239,9,1,1,0,G20PREDBID,233226
Cortlandt 28,545,359,8,2,4,0,G20PREDBID,233226
Cortlandt 13,633,482,10,2,1,0,G20PREDBID,233226
Cortlandt 21,453,373,2,5,0,0,G20PREDBID,233226
Yorktown 3,371,228,4,0,1,0,G20PREDBID,233226
Yorktown 43,241,126,4,1,0,0,G20PREDBID,233226
Yorktown 18,304,245,7,0,1,0,G20PREDBID,233226
Yorktown 8,257,203,5,0,0,0,G20PREDBID,233226
Yorktown 29,189,154,3,0,2,0,G20PREDBID,233226
Mount Kisco 7,249,79,1,0,1,0,G20PREDBID,233226
Yorktown 17,298,271,1,0,7,2,G20PREDBID,233226
Yorktown 33,364,269,2,2,2,0,G20PREDBID,233226
Yorktown 7,285,242,1,2,2,1,G20PREDBID,233226
Yorktown 16,175,211,0,1,1,0,G20PREDBID,233226
Yorktown 34,217,183,7,1,3,0,G20PREDBID,233226
Yorktown 26,163,158,1,1,0,0,G20PREDBID,233226
ZZZ,0,0,0,0,0,0,G20PREDBID,233226
